ChEMBL_ID,canonical_smiles,activity_flag
CHEMBL522124,C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\C3OC3CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,active
CHEMBL404116,C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\C=C\CC1)O[C@@](O)([C@@H]1CSC(=O)N1)C2,active
CHEMBL4283758,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/C)C2=O)nn1,active
CHEMBL4295041,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/CC)C2=O)nn1,active
CHEMBL4280306,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/CCCCC)C2=O)nn1,active
CHEMBL4291623,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)SC(=C(C)C)C2=O)nn1,active
CHEMBL3261567,C=CCN(CC=C)C(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1,inactive
CHEMBL560335,C=CCc1cc(/C=C2\SC(=O)NC2=O)c(O)c(-c2cc(/C=C3\SC(=O)NC3=O)c(O)c(CC=C)c2)c1,inactive
CHEMBL565219,C=CCc1cc(/C=C2\SC(=O)NC2=O)c(O)c(-c2ccc(O)c(CC=C)c2)c1,inactive
CHEMBL558653,C=CCc1ccc(O)c(-c2cc(/C=C3\SC(=O)NC3=O)c(O)c(CC=C)c2)c1,inactive
CHEMBL5173685,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\C(C)C)C5=O)CC4)CC[C@]3(C)CC[C@]12C,active
CHEMBL5177456,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\C6CC6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,active
CHEMBL5192712,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccc7c(c6)OCO7)C5=O)CC4)CC[C@]3(C)CC[C@]12C,active
CHEMBL5196368,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccco6)C5=O)CC4)CC[C@]3(C)CC[C@]12C,active
CHEMBL5170428,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)CSC5=O)CC4)CC[C@]3(C)CC[C@]12C,active
CHEMBL175769,CC(=O)CCC(=O)OC[C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO,active
CHEMBL360496,CC(=O)OC[C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO,active
CHEMBL3818310,CC(C)(C)N1/C(=N/c2ccc(Cl)c(C(F)(F)F)c2)SCC1(O)C(F)(F)F,active
CHEMBL5179225,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,inactive
CHEMBL5195197,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,inactive
CHEMBL175719,CC(O)CCC(=O)OC[C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12CO,active
CHEMBL2316327,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=O)N(C)C1=O,inactive
CHEMBL2316323,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=O)NC1=O,inactive
CHEMBL2316329,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)N(CC(=O)O)C1=O,inactive
CHEMBL2316324,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)NC1=O,inactive
