ChEMBL_ID,canonical_smiles,target_chembl_id,standard_type,standard_value,standard_units,assay_description
CHEMBL5185164,O=C1N/C(=N\Cc2cccc(Cl)c2)S/C1=C1/CCNC(=O)c2[nH]ccc21,CHEMBL392,IC50,35200.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay
CHEMBL1992412,O=C(O)c1cccc(S(=O)(=O)NN2C(=O)CSC2c2c(O)ccc3ccccc23)c1,CHEMBL392,GI50,41495.4,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL4294646,O=C(O)CN1C(=O)/C(=C/c2nc3cc(Cl)ccc3n2Cc2ccccc2F)SC1=S,CHEMBL392,IC50,5640.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL4293594,Cc1ccc(Cn2c(/C=C3\SC(=S)NC3=O)nc3ccccc32)cc1,CHEMBL392,IC50,5310.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL4281661,N#Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,CHEMBL392,IC50,26580.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL4289575,COc1ccc2c(c1)nc(/C=C1\SC(=S)N(CC(=O)O)C1=O)n2Cc1ccccc1F,CHEMBL392,IC50,18350.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL4286746,O=C1NC(=S)S/C1=C\c1nc2ccccc2n1Cc1ccccc1F,CHEMBL392,IC50,50000.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay
CHEMBL5192712,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccc7c(c6)OCO7)C5=O)CC4)CC[C@]3(C)CC[C@]12C,CHEMBL392,IC50,350.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay
CHEMBL1992684,Cc1ccc(C2SCC(=O)N2c2ccc(-c3ccc(-n4c(-c5ccccc5)nc5ccccc5c4=O)cc3)cc2)cc1,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5207059,O=C1N/C(=N\CCc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,CHEMBL392,IC50,19470.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay
CHEMBL5188571,O=C1N/C(=N\Cc2ccc(F)cc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,CHEMBL392,IC50,22390.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay
CHEMBL1973770,COc1ccc(N2C(=O)/C(=C\c3ccccc3)SC2c2cc(OC)c(OC)c(OC)c2)cc1,CHEMBL392,GI50,100000.0,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5268780,COc1ccc2[nH]cc(-c3cc(/N=C4/NC(=O)CS4)n(-c4ccc(Cl)cc4)n3)c2c1,CHEMBL392,IC50,20930.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay
CHEMBL1967232,O=C1CS(=O)(=O)C(c2cccc(Oc3ccccc3)c2)N1c1cc(Cl)ccc1Cl,CHEMBL392,GI50,38194.43,nM,PUBCHEM_BIOASSAY: NCI human tumor cell line growth inhibition assay. Data for the A549/ATCC Non-Small Cell Lung cell line. (Class of assay: confirmatory) 
CHEMBL5401660,CCOC(=O)C(CC)N1C(=O)S/C(=C\c2ccc(O)c(O)c2)C1=O,CHEMBL392,GI50,29310.0,nM,Antiproliferative activity against human A549 cells assessed as cell growth inhibition incubated for 72 hrs by resazurin dye based analysis
