ChEMBL_ID,canonical_smiles,standard_value,standard_units,assay_description,activity_flag
CHEMBL5185164,O=C1N/C(=N\Cc2cccc(Cl)c2)S/C1=C1/CCNC(=O)c2[nH]ccc21,35200.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL4294646,O=C(O)CN1C(=O)/C(=C/c2nc3cc(Cl)ccc3n2Cc2ccccc2F)SC1=S,5640.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4293594,Cc1ccc(Cn2c(/C=C3\SC(=S)NC3=O)nc3ccccc32)cc1,5310.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4281661,N#Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,26580.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4289575,COc1ccc2c(c1)nc(/C=C1\SC(=S)N(CC(=O)O)C1=O)n2Cc1ccccc1F,18350.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL4286746,O=C1NC(=S)S/C1=C\c1nc2ccccc2n1Cc1ccccc1F,50000.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL5192712,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccc7c(c6)OCO7)C5=O)CC4)CC[C@]3(C)CC[C@]12C,350.0,nM,Cytotoxicity against human A549 cells assessed as inhibition of cell growth measured after 96 hrs by MTT assay,active
CHEMBL5207059,O=C1N/C(=N\CCc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,19470.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL5188571,O=C1N/C(=N\Cc2ccc(F)cc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,22390.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL5268780,COc1ccc2[nH]cc(-c3cc(/N=C4/NC(=O)CS4)n(-c4ccc(Cl)cc4)n3)c2c1,20930.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability measured after 48 hrs by MTT assay,inactive
CHEMBL4285484,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2F)SC1=S,27310.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,inactive
CHEMBL5190348,O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]ccc21,26880.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL5172244,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,3730.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,active
CHEMBL2316329,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)N(CC(=O)O)C1=O,50000.0,nM,Anticancer activity against human A549 cells assessed as cell viability after 72 hrs by MTT reduction assay,inactive
CHEMBL5185291,COc1ccc(CC/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,15960.0,nM,Cytotoxicity against human A549 cells assessed as cell growth inhibition incubated for 48 hrs by MTT assay,inactive
CHEMBL363555,CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,25000.0,nM,Inhibitory concentration against growth of A549 lung carcinoma cell,inactive
CHEMBL4292926,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2)SC1=S,8760.0,nM,Cytotoxicity against human A549 cells after 48 hrs by MTT assay,active
CHEMBL4591565,COc1ccc2oc(=O)c(/C=C3\SC(=O)N(C(=O)c4ccc(Cl)cc4)C3=O)cc2c1,950.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell viability by MTT assay,active
CHEMBL4591565,COc1ccc2oc(=O)c(/C=C3\SC(=O)N(C(=O)c4ccc(Cl)cc4)C3=O)cc2c1,950.0,nM,Cytotoxicity against human A549 cells assessed as reduction in cell growth measured after 48 hrs by MTT assay,active
