ChEMBL_ID,canonical_smiles,activity_flag
CHEMBL4294646,O=C(O)CN1C(=O)/C(=C/c2nc3cc(Cl)ccc3n2Cc2ccccc2F)SC1=S,active
CHEMBL4293594,Cc1ccc(Cn2c(/C=C3\SC(=S)NC3=O)nc3ccccc32)cc1,active
CHEMBL5192712,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\c6ccc7c(c6)OCO7)C5=O)CC4)CC[C@]3(C)CC[C@]12C,active
CHEMBL5172244,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,active
CHEMBL2316329,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=S)N(CC(=O)O)C1=O,inactive
CHEMBL363555,CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,inactive
CHEMBL4292926,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2)SC1=S,active
CHEMBL4591565,COc1ccc2oc(=O)c(/C=C3\SC(=O)N(C(=O)c4ccc(Cl)cc4)C3=O)cc2c1,active
CHEMBL3792481,Cc1cnc(C(=O)NN2C(=O)CS[C@H]2c2ccc(N(C)C)cc2)cn1,active
CHEMBL4585340,CCN1CCN(CCCOc2cc3nccc(Oc4ccc(C5SCC(=O)N5NC(=O)Nc5ccc(F)cc5F)cc4F)c3cc2OC)CC1,active
CHEMBL4442035,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccccc4)cc3)ccnc2cc1OCCCN1CCOCC1,active
CHEMBL4284355,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CCC(=O)O)C3=O)nc3ccccc32)cc1,active
CHEMBL3794067,COc1ccc([C@H]2SCC(=O)N2NC(=O)c2nccnc2N)cc1OC,active
CHEMBL4218483,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)NC4=O)ccc3[nH]2)cc1OC,active
CHEMBL3098830,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,inactive
CHEMBL4202950,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)c5ccccc5)C4=O)ccc3[nH]2)cc(OC)c1OC,active
CHEMBL4289418,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccc(Cl)cc32)cc1,active
CHEMBL4211815,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCCC5)C4=O)ccc3[nH]2)cc(OC)c1OC,active
CHEMBL4550253,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccccc4Cl)cc3)ccnc2cc1OCCCN1CCOCC1,active
CHEMBL4460608,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1,active
