,0
[14*]c1nc2cc([16*])ccc2[nH]1,1.7351180628334906
[5*]N1/C(=N/c2ccc(Cl)c([16*])c2)SCC1([13*])O,1.3313973261102816
[5*]N[5*],1.2764919510220298
[14*]c1n[nH]c2ccc([16*])cc12,1.0816364973793613
[5*]N1CCCS1(=O)=O,1.0816364973793613
[4*]CC[8*],0.9845146032770785
[16*]c1ccc(C)cc1,0.9214189469954515
[8*]C(F)(F)F,0.8731234771308227
[7*]C[8*],0.8622959123676628
[7*]CC1=C(Cl)c2cc(C)c(C)cc2CCC1,0.7916358938192956
[7*]C1SC(=O)NC1=O,0.7880125381743254
[16*]c1cc2nccc([16*])c2cc1[16*],0.7792209530703419
[3*]OC,0.7328468246768214
[16*]c1cc(Cl)ccc1O,0.6953743970748327
[5*]N1/C(=N/c2cccc([16*])c2)SCC1([13*])O,0.6796730866096926
[9*]n1c([14*])nc2cc(Cl)ccc21,0.6763600308411591
[5*]N1CCOCC1,0.6621803855610002
[9*]n1c([14*])nc2ccccc21,0.6600549167596812
[4*]C[8*],0.6448864360160816
[1*]C([6*])=O,0.6361787374360747
[16*]c1cccc(Br)c1,0.6213139433291871
[16*]c1ccc(Br)cc1,0.6128735246602036
[3*]O[3*],0.5959028823944659
[4*]CCC[4*],0.5780406608818839
[14*]c1[nH]c2ccc(Cl)cc2c1[16*],0.5659726111452573
[5*]N1CCCC1,0.5532690612367368
[14*]c1nc([14*])c2ccccc2n1,0.46089976664467636
[8*]C([8*])(C)O,0.46089976664467636
[5*]N1CCSC1,0.46089976664467636
[14*]c1nc2c3ccccc3c3ccccc3c2[nH]1,0.45798910673763465
[1*]C(=O)NN1C(=O)CSC1[13*],0.44032285861407305
[6*]C(=O)C[8*],0.4113175222206368
[1*]C(=O)C[8*],0.4083887438596258
[16*]c1ccc([16*])cc1,0.40374615912721046
[14*]c1ccco1,0.3893219993723817
[7*]C1SC(=O)N([10*])C1=O,0.38417782006723206
[7*]C1SC(=S)N([10*])C1=O,0.3735338129850408
[16*]c1ccc2oc(=O)c([16*])cc2c1,0.3732815965671868
[16*]c1cc([16*])cc([16*])c1,0.36382731421124376
[7*]CC1=C(Cl)c2ccccc2CCC1,0.3206469769277039
[16*]c1cc([16*])c([16*])cc1[16*],0.32034132344370203
