fragment,rank,active_%,inactive_%
[14*]c1nc2cc([16*])ccc2[nH]1,1,14.529914529914532,0.42016806722689076
[5*]N1/C(=N/c2ccc(Cl)c([16*])c2)SCC1([13*])O,2,4.273504273504273,0.0
[5*]N[5*],3,43.58974358974359,7.563025210084033
[14*]c1n[nH]c2ccc([16*])cc12,4,9.401709401709402,0.0
[5*]N1CCCS1(=O)=O,5,10.256410256410255,0.0
[4*]CC[8*],6,6.837606837606838,1.2605042016806722
[16*]c1ccc(C)cc1,7,8.547008547008547,4.201680672268908
[8*]C(F)(F)F,8,7.6923076923076925,7.142857142857142
[7*]C[8*],9,35.04273504273504,23.949579831932773
[7*]CC1=C(Cl)c2cc(C)c(C)cc2CCC1,10,2.564102564102564,1.2605042016806722
[7*]C1SC(=O)NC1=O,11,5.982905982905983,4.621848739495799
[16*]c1cc2nccc([16*])c2cc1[16*],12,28.205128205128204,0.42016806722689076
[3*]OC,13,60.68376068376068,26.47058823529412
[16*]c1cc(Cl)ccc1O,14,0.8547008547008548,0.0
[5*]N1/C(=N/c2cccc([16*])c2)SCC1([13*])O,15,0.8547008547008548,0.0
[9*]n1c([14*])nc2cc(Cl)ccc21,16,0.8547008547008548,0.42016806722689076
[5*]N1CCOCC1,17,14.529914529914532,0.42016806722689076
[9*]n1c([14*])nc2ccccc21,18,10.256410256410255,4.621848739495799
[4*]C[8*],19,3.418803418803419,2.5210084033613445
[1*]C([6*])=O,20,8.547008547008547,2.100840336134454
[16*]c1cccc(Br)c1,21,2.564102564102564,5.042016806722689
[16*]c1ccc(Br)cc1,22,4.273504273504273,2.100840336134454
[3*]O[3*],23,30.76923076923077,2.5210084033613445
[4*]CCC[4*],24,25.64102564102564,0.42016806722689076
[14*]c1[nH]c2ccc(Cl)cc2c1[16*],25,0.8547008547008548,0.0
[5*]N1CCCC1,26,7.6923076923076925,0.0
[5*]N1CCSC1,27,0.8547008547008548,0.0
[14*]c1nc([14*])c2ccccc2n1,28,0.8547008547008548,0.0
[8*]C([8*])(C)O,29,0.8547008547008548,0.0
[14*]c1nc2c3ccccc3c3ccccc3c2[nH]1,30,0.8547008547008548,0.0
[1*]C(=O)NN1C(=O)CSC1[13*],31,25.64102564102564,0.42016806722689076
[6*]C(=O)C[8*],32,8.547008547008547,4.621848739495799
[1*]C(=O)C[8*],33,13.675213675213676,6.302521008403361
