fragment,value,rank
[14*]c1nc2cc([16*])ccc2[nH]1,5,1
[5*]N1/C(=N/c2ccc(Cl)c([16*])c2)SCC1([13*])O,5,2
[5*]N1CCCS1(=O)=O,5,3
[14*]c1n[nH]c2ccc([16*])cc12,5,4
[5*]N[5*],5,5
[4*]CC[8*],5,6
[16*]c1cc2nccc([16*])c2cc1[16*],5,7
[9*]n1c([14*])nc2ccccc21,5,8
[7*]C[8*],5,9
[8*]C(F)(F)F,5,10
[16*]c1ccc(C)cc1,5,11
[1*]C([6*])=O,5,12
[5*]N1/C(=N/c2cccc([16*])c2)SCC1([13*])O,4,13
[3*]OC,4,14
[16*]c1cc(Cl)ccc1O,4,15
[5*]N1CCOCC1,4,16
[4*]CCC[4*],3,17
[16*]c1ccc(Br)cc1,3,18
[7*]C1SC(=O)NC1=O,2,19
[1*]C(=O)NN1C(=O)CSC1[13*],2,20
[7*]CC1=C(Cl)c2cc(C)c(C)cc2CCC1,2,21
[3*]O[3*],2,22
[6*]C(=O)C[8*],2,23
[14*]c1[nH]c2ccc(Cl)cc2c1[16*],2,24
[4*]C[8*],1,25
[9*]n1c([14*])nc2cc(Cl)ccc21,1,26
[16*]c1cccc(Br)c1,1,27
[5*]N1CCCC1,1,28
