,0
[3*]OC,0.02940885609875541
[5*]N[5*],0.025350818064191094
[16*]c1cc2nccc([16*])c2cc1[16*],0.022641044338841922
[14*]c1nc2cc([16*])ccc2[nH]1,0.018023917216436987
[4*]CCC[4*],0.01799979144096015
[3*]O[3*],0.016936606021813794
[1*]C(=O)NN1C(=O)CSC1[13*],0.01565904129244368
[7*]C[8*],0.015206385793893185
[9*]n1nc([14*])cc1/N=C1/NC(=O)CS1,0.014827416972064624
[14*]c1n[nH]c2ccc([16*])cc12,0.00997747356166211
[5*]N1CCCS1(=O)=O,0.00994308300227317
[5*]N1CCOCC1,0.006932511785285372
[16*]c1c(F)cccc1F,0.006384927483929201
[7*]C1SC(=O)N([10*])C1=O,0.005699652491306407
[1*]C([6*])=O,0.004850438353723068
[16*]c1ccc([16*])cc1,0.004319371775399096
[4*]CC[8*],0.0041667577252817575
[13*]C1SC(=O)NC1=O,0.003995115692182906
[7*]C1SC(=S)N([10*])C1=O,0.003932682897687564
[1*]C(=O)C[8*],0.003895602474016629
[16*]c1cc([16*])c([16*])c([16*])c1,0.0037999589999255508
[9*]n1c([14*])nc2ccccc21,0.0037909797042149284
[6*]C(=O)O,0.003671680948263308
[14*]c1nnc([14*])s1,0.003665396510712372
[8*]CC,0.003413136863753291
[5*]N1/C(=N/c2ccc(Cl)c([16*])c2)SCC1([13*])O,0.0033501581901891385
[16*]c1ccc(C)cc1,0.003026489733104971
[5*]N1CCCC1,0.002321708437251354
[16*]c1cc(F)c([16*])c(F)c1,0.0022830674420038347
[15*]C1CCCCC1,0.0021772189580110336
[16*]c1ccc(F)cc1F,0.002152267789600349
[16*]c1c[nH]c2ccccc12,0.001881559118090365
[16*]c1cccc([16*])c1,0.0017885671178502615
[6*]C(=O)C[8*],0.001668006504463421
[8*]C(F)(F)F,0.0015238737340278934
[8*]CC(=O)O,0.001503178807424215
[7*]CC1=C(Cl)c2cc(C)c(C)cc2CCC1,0.0014779589946466694
[8*]C[8*],0.0014405823066508795
[14*]c1cn2c([14*])cnc2s1,0.0013461720965630417
[16*]c1cc([16*])c([16*])cc1[16*],0.001211363986337645
[16*]c1ccc(Cl)cc1,0.0011738098777445752
[7*]C1SC(=O)NC1=O,0.0011486816877184934
[16*]c1ccccc1[16*],0.0010293905980849319
[16*]c1ccc([16*])c(F)c1,0.0009787880737524494
[5*]N1CCCCC1,0.0009586218729718005
[7*]C1CCNC(=O)c2[nH]ccc21,0.0008761095663906231
[16*]c1ccc(Br)cc1,0.0008698465640487124
[4*]C[8*],0.0008202827673594652
[16*]c1ccc(F)cc1,0.0007879528223633142
[16*]c1ccccc1,0.0007615655347854562
[7*]C1S/C(=N/C[8*])NC1=O,0.000732226460472212
[7*]C1SC(=S)NC1=O,0.0006991261524667216
[5*]N1CCc2sccc2C1,0.0006829002538200384
[9*]n1cc([16*])c2ccccc21,0.0006792753391378641
[16*]c1ccc([16*])c([16*])c1,0.0006591609513235949
[9*]n1c2ccccc2c2cc([16*])ccc21,0.0005965917150108584
[16*]c1ccc([16*])c(Cl)c1,0.0005441241278186264
[5*]N1/C(=N/c2ccccc2)SCC1([13*])O,0.0005108283714849697
[5*]N1CCN([5*])CC1,0.0005084633036276256
[10*]N1C(=O)CSC1[13*],0.00048763400267581056
[5*]N1C(=S)SCC1([13*])O,0.00041775962340725645
[9*]n1c([14*])nc2cc(Cl)ccc21,0.00039760810452742494
[4*]CC,0.00038978747853402426
[16*]c1cc(Cl)ccc1O,0.0003883580733695543
[16*]c1cccc(C)c1,0.00038745017056857214
[10*]N1C(=O)C(C)SC1[13*],0.0003678368881078873
[8*]CC[8*],0.0003594274044352053
[14*]c1nc2c3ccccc3c3ccccc3c2[nH]1,0.0003556378599162957
[16*]c1ccc(O)c([16*])c1,0.00034158850411350705
[16*]c1ccccc1F,0.00033714918454360915
[10*]N1C(=O)CSC1=O,0.0003368636864934765
[16*]c1ccc(O)cc1,0.0003179846330086764
[14*]c1ccco1,0.0003141287185826611
[16*]c1cccc(Cl)c1,0.00031141295050158565
[7*]CC1=Cc2ccccc2OC1,0.00030485346283776963
[14*]c1[nH]c2ccc(Cl)cc2c1[16*],0.00028798332300020683
[16*]c1ccccc1Br,0.00024586862223249106
[5*]N1/C(=N/c2cccc([16*])c2)SCC1([13*])O,0.00023602850983695393
[9*]n1cc([16*])c2cc([16*])ccc21,0.0002356254272750131
[4*]CC[4*],0.0002329196068077072
[7*]CC1=Cc2cc(Br)ccc2OC1C,0.00022835481333826802
[5*]N1CCSC1,0.00022369691822627635
[16*]c1cccc(Br)c1,0.00020791603786520145
[5*]N1CCC([15*])CC1,0.0002004160494635926
[11*]SC,0.0002002845770600873
[6*]C(=O)NN1C(=O)CS[C@@H]1[13*],0.00019515172316395403
[8*]C([8*])(C)O,0.0001880448471482245
[7*]C1S/C(=N/CC[8*])NC1=O,0.00018618432862104706
[8*]CCN,0.0001839400227144215
[14*]c1nc([14*])c2ccccc2n1,0.00018114340631242398
[14*]c1cnc(C)cn1,0.00017864381756986237
[16*]c1cc([16*])cc([16*])c1,0.00015606906417463896
[16*]c1ccc2oc(=O)c([16*])cc2c1,0.0001509249509655789
[16*]c1ccc(C#N)cc1,0.0001492931758760586
[5*]N1CCN(C)CC1,0.00014730178508671053
[9*]n1c([14*])nc2ccc(F)cc21,0.00014577008669709255
[7*]CC1=C(Cl)c2ccccc2CCC1,0.000144960217769528
[8*]CCC(=O)O,0.00014432768474521902
[16*]c1cccc2ccccc12,0.00013523199253167055
[6*]C(=O)NN1C(=O)CS[C@H]1[13*],0.00013384726053102526
[4*]CCC[8*],0.000131272591029922
[16*]c1ccc(Br)cc1F,0.00012938624118943786
[9*]n1c([14*])nc2ccc([16*])cc21,0.00012564086433929122
[5*]N([5*])[5*],0.00012196878024634997
[9*]n1c([14*])nc2cc([16*])ccc21,0.00011347105790777565
[16*]c1cccc(F)c1,0.00011058955689246138
[5*]N(C)C,0.00010974462004643878
[5*]N1CCC(C)CC1,0.00010561076955729834
[16*]c1cccc([N+](=O)[O-])c1,0.00010544256355517885
[5*]N1/C(=N/c2ccc([16*])cc2)SCC1([13*])O,0.00010216923247438908
[14*]c1nccnc1N,0.00010075089418987453
[9*]n1c([14*])nc2ccc(Cl)cc21,0.00010033955130094953
[16*]c1ccc2ccccc2c1,9.990889933560698e-05
[16*]c1ccccc1Cl,9.807928706017729e-05
[16*]c1cc([16*])c(O)c([16*])c1,9.224406909271922e-05
[16*]c1ccc(F)c(F)c1,9.138074061669273e-05
[14*]c1ccccn1,8.902055421888901e-05
[5*]NC(=S)NN1C(=O)CSC1[13*],8.682179211587823e-05
[1*]C(=O)NN1C(=O)C(C)(C)SC1[13*],8.650230803345159e-05
[7*]C1CCNC(=O)c2[nH]c3ccccc3c21,8.63725621622821e-05
[16*]c1ccc2[nH]cc([16*])c2c1,8.41712957534094e-05
[12*]S(=O)(=O)c1cccs1,8.002441713366358e-05
[16*]c1ccc([N+](=O)[O-])cc1,7.768697153162356e-05
[16*]c1ccncc1,7.608639120420694e-05
[8*]CC=C,7.58311459602531e-05
[14*]c1ccc([N+](=O)[O-])s1,7.577208937212935e-05
[1*]C(=O)NN1C(=O)C(C)SC1[13*],7.48860691736561e-05
[7*]C1S/C(=N\c2nc([14*])cs2)N([10*])C1=O,7.460452035872001e-05
[14*]c1nccs1,7.278893740618089e-05
[5*]N1CCCN(C)CC1,6.850338668298547e-05
[4*]CCCC[4*],6.429489365805666e-05
[9*]n1c([14*])nc2cc(F)ccc21,6.242455147031136e-05
[16*]c1ccccc1[N+](=O)[O-],6.0860058544270624e-05
[7*]CC1=Cc2cccc([16*])c2OC1,5.9027572694151294e-05
[16*]c1cn(C)c2ccc(Br)cc12,5.729378413372603e-05
[14*]c1cccs1,5.265266125883444e-05
[9*]n1c(=O)c([16*])c(C)n1C,4.8525531492139085e-05
[14*]c1[nH]c2ccc(C)cc2c1[16*],4.670947765222157e-05
[5*]N1/C(=N/c2ccc(F)cc2)SCC1([13*])O,4.6526160933637796e-05
[15*]C1CCC([15*])CC1,4.152178530216804e-05
[16*]c1cc(F)cc(F)c1,4.121979560914144e-05
[16*]c1cc2c(c([16*])c1[16*])OCO2,4.100819609575463e-05
[16*]c1cn(C)c2ccccc12,3.8968097390401127e-05
[9*]n1cc([16*])c2cc(Br)ccc21,3.857712171296213e-05
[4*]CC=C,3.5719212324096274e-05
[15*]C1CCC(Br)CC1,3.385614829870394e-05
[16*]c1ccc(F)c(F)c1F,2.9664688355906336e-05
[16*]c1cccnc1,2.776465778387748e-05
[10*]N1C(=O)C([13*])S/C1=N\c1ccccc1,2.7104913026532976e-05
[14*]c1ncn[nH]1,2.3936203216750803e-05
[8*]C(C)(C)C,2.2878784878463167e-05
[7*]C1CCNC(=O)c2c1ccn2C,2.2188132640270805e-05
[14*]c1ccc2ccccc2n1,2.070930205745383e-05
[7*]C1SC(=O)N(C)C1=O,1.9230362149114415e-05
[8*]CBr,1.7178799727202416e-05
[15*]C1CCC(C)CC1,1.6148446268804983e-05
[10*]N1C(=O)C([13*])S/C1=N\c1ccc(C)cc1,1.5901973441496934e-05
[7*]CC1=Cc2cc(Br)ccc2OC1,1.5575077896763454e-05
[16*]c1ccc2c(c1)c([16*])cn2C,1.502227100851438e-05
[15*]C1CCC(Cl)CC1,1.4871768692128415e-05
[16*]c1ccc2c(c1)OCO2,1.2560098841060933e-05
[7*]C1C(=O)Nc2ccccc21,1.1553474529369137e-05
[5*]NC,8.970813760615378e-06
[15*]C1CCC(F)CC1,8.810309953129633e-06
[10*]N1C(=O)C([13*])S/C1=N/CC,6.6182754898411555e-06
[16*]c1cccc(O)c1,5.131766342096761e-06
[14*]c1ncccn1,3.890301316672312e-06
[15*]C1CC1,3.718579039275814e-06
[15*]C1CCC([N+](=O)[O-])CC1,3.65333029089278e-06
[7*]C1CCNC(=O)c2c1c1ccccc1n2C,1.057833975193461e-06
[10*]N1C(=O)C([13*])S/C1=N\c1ccc(I)cc1,9.367954591490152e-07
[14*]c1cnccn1,7.503242667986074e-07
[10*]N1C(=O)C([13*])S/C1=N/C1CCCCC1,0.0
[7*]C1C(=O)Nc2ccc(Br)cc21,0.0
[14*]c1cccn1C,0.0
[14*]c1cn2ccc([16*])cc2n1,0.0
[15*]C1CCC(Cl)CC1Cl,0.0
[16*]c1cc([16*])c(Cl)cc1[16*],0.0
[10*]N1C(=O)CS/C1=N\c1nc([14*])cs1,0.0
[16*]c1ccc([16*])c2ccccc12,0.0
[16*]c1ccccc1O,0.0
[10*]N1C(=O)C([13*])S/C1=N\c1ccc([16*])cc1,0.0
[4*]C(C)(C)C,0.0
[4*]CC(=O)N1N=C(c2ccc(F)cc2)CC1[13*],0.0
[4*]CC(C)C,0.0
[4*]CCC,0.0
[10*]N1C(=O)C([13*])S/C1=N/c1ccccc1,0.0
[5*]N1/C(=N/c2ccc(F)c(Cl)c2)SCC1([13*])O,0.0
[10*]N1C(=O)C([13*])S/C1=N/c1ccc(F)c(Cl)c1,0.0
[10*]N1C(=O)C([13*])S/C1=N/c1cc(C)ccc1Cl,0.0
[5*]N1C[C@H]2CCCC[C@H]2C1,0.0
[6*]C(=O)NN1C(=O)CSC1[13*],0.0
[13*]C1(O)CSC(=S)N1C,0.0
