fragment,rank,active_%,inactive_%
[3*]O[3*],1,30.344827586206897,3.1963470319634704
[5*]N[5*],2,35.172413793103445,8.21917808219178
[3*]OC,3,48.96551724137931,27.397260273972602
[16*]c1cc2nccc([16*])c2cc1[16*],4,22.758620689655174,0.45662100456621
[1*]C(=O)NN1C(=O)CSC1[13*],5,20.689655172413794,0.45662100456621
[8*]CO,6,10.344827586206897,0.45662100456621
[4*]CCC[4*],7,20.689655172413794,0.45662100456621
[14*]c1nc2cc([16*])ccc2[nH]1,8,11.724137931034482,0.45662100456621
[5*]N1CCCS1(=O)=O,9,8.275862068965518,0.0
[14*]c1n[nH]c2ccc([16*])cc12,10,7.586206896551724,0.0
[1*]C([6*])=O,11,11.03448275862069,2.28310502283105
[7*]C[8*],12,30.344827586206897,26.027397260273972
[6*]C(=O)C[8*],13,9.655172413793103,5.0228310502283104
[1*]C(=O)C[8*],14,14.482758620689657,6.8493150684931505
[5*]N1CCOCC1,15,11.724137931034482,0.45662100456621
[7*]C1SC(=O)N([10*])C1=O,16,18.620689655172416,10.95890410958904
[4*]CC[8*],17,5.517241379310345,1.36986301369863
[9*]n1c([14*])nc2ccccc21,18,8.275862068965518,5.0228310502283104
[8*]CC,19,0.6896551724137931,9.1324200913242
[16*]c1c(F)cccc1F,20,11.724137931034482,0.45662100456621
[5*]N1CCN([5*])CC1,21,6.206896551724138,0.0
