fragment,score
[8*]C[8*],1.1070117914875857
[3*]OC,0.8680265672179958
[14*]c1nc2cc([16*])ccc2[nH]1,0.7831148064594232
[9*]n1c([14*])nc2ccccc21,0.7824230934064395
[7*]C[8*],0.7547049974458132
[6*]C(=O)NN1C(=O)CS[C@@H]1[13*],0.7110854387780121
[10*]N1C(=O)CSC1[13*],0.6946211978000237
[1*]C([6*])=O,0.5873245075305416
[8*]CO,0.5354690349023663
[16*]c1ccc(Br)cc1,0.5224944598121655
[14*]c1nccnc1N,0.5100375131825918
[7*]C1S/C(=N/C[8*])NC1=O,0.5006989752494857
[5*]N[5*],0.4850020206479887
[5*]N1CCOCC1,0.46641763692818916
[14*]c1nc2c3ccccc3c3ccccc3c2[nH]1,0.4134874430618327
[14*]c1cnc(C)cn1,0.4113128223422078
[16*]c1cc2nccc([16*])c2cc1[16*],0.3979006352666059
[16*]c1cc([16*])c([16*])c([16*])c1,0.3896460351049909
[16*]c1ccc(Cl)cc1,0.3876622012401843
[5*]N1CCCC1,0.3872981827199237
[16*]c1cccc(Br)c1,0.3857710685198418
[5*]N1CCN([5*])CC1,0.36236762195510724
[1*]C(=O)C[8*],0.34951045619240345
[7*]CC1=C(Cl)c2ccccc2CCC1,0.3458268905576781
[16*]c1ccc([16*])c([16*])c1,0.329162677104593
[9*]n1cc([14*])nn1,0.3266566580633789
[4*]CCC[8*],0.3266566580633789
[13*][C@H]1O[C@@H]2C[C@@H]3C(C)(C)CCC[C@@]31[C@@H]1[C@@H](O)C[C@H]3C(=C)C(=O)[C@@]21[C@@H]3O,0.3266566580633789
[14*]c1cnccn1,0.3260320096554855
[16*]c1ccccc1[16*],0.308850129280182
[3*]O[3*],0.30222015975022387
[6*]C(=O)NN1C(=O)CSC1[13*],0.295897213294224
[15*][C@]12C[C@H]3OC4(O)[C@@H](O[C@H](C)C[C@@]45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12[15*],0.27990319702122923
[9*]n1c2ccccc2c2cc([16*])ccc21,0.27136824450076125
[4*]C[8*],0.2583460021917998
[15*][C@]12C[C@H]3O[C@]4(O)[C@@H](O[C@H](C)CC45NC(=O)CS5)O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,0.2555658378811372
[7*]C1CCNC(=O)c2[nH]c3ccccc3c21,0.25034948762474285
[7*]C1CCNC(=O)c2[nH]ccc21,0.25034948762474285
[6*]C(=O)NN1C(=O)CS[C@H]1[13*],0.2403996931080492
[16*]c1ccc([N+](=O)[O-])cc1,0.23075723853920077
[3*]O[Si](C)(C)C,0.2272872658409411
[13*]C12O[C@@H]3C[C@@]4([15*])[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54[15*])C[C@H]3O[C@@H]1O[C@H](C)C[C@@]21NC(=O)CS1,0.2272872658409411
[15*]C12O[C@@H]3C[C@@]4([15*])[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54[15*])C[C@H]3O[C@@H]1O[C@H](C)C[C@@]21NC(=O)CS1,0.2272872658409411
[16*]c1cccc([16*])c1,0.21885990419964643
[4*]CCC[4*],0.21733355656609
[1*]C(=O)NN1C(=O)CSC1[13*],0.20491564493160802
[15*][C@]1(C)CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,0.1867120916295722
[3*]OS(C)(=O)=O,0.17699304395459053
[16*]c1cc(Cl)ccc1O,0.17642157315891363
[4*]CC[8*],0.1710229020481165
[16*]c1cccc([N+](=O)[O-])c1,0.1709131292341586
[16*]c1ccc(F)cc1F,0.16880322554231508
[16*]c1cc([16*])c([16*])cc1[16*],0.1559660062557321
[16*]c1ccccc1F,0.15251755393759017
[5*]N1CCCCC1,0.14952427407183427
[9*]n1c(=O)c([16*])c(C)n1C,0.1480234177915251
[7*]C1S/C(=N\c2nc([14*])cs2)N([10*])C1=O,0.1480234177915251
[1*]C(=O)CCC(C)O,0.1404028293226275
[1*]C(=O)CCC(C)=O,0.1404028293226275
[1*]C(C)=O,0.1404028293226275
